Title,Artist,Album,Status,Match Path
Flava In Ya Ear,Craig Mack,,NOT_FOUND,
Linger,Cranberries,,NOT_FOUND,
Mmm Mmm Mmm Mmm,Crash Test Dummies,,NOT_FOUND,
Give Into The Bass (Remix),Crew Ft. Dirty Impact & Funkytunerockers,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Crew-Give Into The Bass (Dirty Impact & Funkytunerockers Remix).wmv.mp3
ENGLISHMAN IN NEW YORK (Willy William Club Mix),CRIS CAB ft. WILLY WILLIAM,,NOT_FOUND,
Hay,Crucial Conflict,,NOT_FOUND,
100% Pure Love (32 Intro),Crystal Waters,,NOT_FOUND,
100% Pure Love (32 Intro),Crystal Waters,,NOT_FOUND,
Mr Vain,Culture Beat,,NOT_FOUND,
Friday I'm In Love,Cure,,NOT_FOUND,
I Don't Believe It,Cutty Ranks,"Singles Pack ""05/31/2014"" - [www.dancehallzone.net]",NOT_FOUND,
Insane In The Brain,Cypress Hill,,NOT_FOUND,
C'mon And Get My Love,D-Mob & Cathy Dennis,1990 Top 100,NOT_FOUND,
Detonate (Original Mix),D-wayne & Leon Bolier,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/D-wayne & Leon Bolier - Detonate (Original Mix) www.livingelectro.com.mp3
Brown Sugar,D'Angelo,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Lady,D'angelo,,NOT_FOUND,
Give It 2 You,Da Brat,Billboard Hits - 1995 - Disk 6,NOT_FOUND,
Funkdafied,Da Brat,,NOT_FOUND,
Forgot About Touch It Rave (Bloodtone x Kronic & Dimatik x Glowinthedark Bootleg),"Dada Life, Daft Punk, Fat Boy Slim x Dr. Dre & Eminem",Facebook.com/bloodtone // Soundcloud.com/bloodtone,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Forgot About Touch It Rave (Bloodtone x Kronic & Dimatik x Glowinthedark Bootleg).mp3
High Enough,Damn Yankees,1991 Top 100,NOT_FOUND,
5 O'Clock,Dan D-Noy,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/07 5 O'Clock.mp3
House Mix 2007,Dance Club Remixes,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/House Mix 2007.mp3
Talk It Out,Danielle D.I. & Tiana,"Singles Pack ""05/31/2014"" - [www.dancehallzone.net]",NOT_FOUND,
They Want EFX,Das EFX,,NOT_FOUND,
Dash Berlin & Syzz - This Is Who We Are (Club Mix)[www.livingelectro.com],Dash Berlin & Syzz,,NOT_FOUND,
(MASTER) All Night (Dj Moneykey Remix),David Franco,,NOT_FOUND,
All Night (Dj Cosmic Club Mix),David Franco feat. FiNk,,NOT_FOUND,
Little Bad Girl (Instrumental Version),David Guetta,Nothing But The Beat (CD2),NOT_FOUND,
Metro Music,David Guetta,Nothing But The Beat (CD2),NOT_FOUND,
Toy Story,David Guetta,Nothing But The Beat (CD2),NOT_FOUND,
The Future,David Guetta,Nothing But The Beat (CD2),NOT_FOUND,
Dreams,David Guetta,Nothing But The Beat (CD2),NOT_FOUND,
Glasgow,David Guetta,Nothing But The Beat (CD2),NOT_FOUND,
Paris,David Guetta,Nothing But The Beat (CD2),NOT_FOUND,
Hey Mama (Acapella Clean),David Guetta & Afrojack ft. Nicki Minaj,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/David_Guetta___Afrojack_ft._Nicki_Minaj-Hey_Mama-Acapella_Clean-92.mp3
